Plate	Well	ID	medium	dilution_day	rep	tournament	tree	level	how_many	C_number	glucose	fructose	xylose	mannose	cellobiose	maltose	sucrose	citric_acid	fumaric_acid	galacturonic_acid	mannitol	sorbitol	glycerol	proline	cellulose	starch	glucose_c	fructose_c	xylose_c	mannose_c	cellobiose_c	maltose_c	sucrose_c	citric_acid_c	fumaric_acid_c	galacturonic_acid_c	mannitol_c	sorbitol_c	glycerol_c	proline_c	cellulose_c	starch_c
2	A7	103	35	7	a	c	a	c	eight	8	Y	Y	N	N	N	N	N	Y	Y	N	N	N	Y	Y	Y	Y	0.125	0.125	0	0	0	0	0	0.125	0.125	0	0	0	0.125	0.125	0.125	0.125
2	A8	104	35	7	b	c	a	c	eight	8	Y	Y	N	N	N	N	N	Y	Y	N	N	N	Y	Y	Y	Y	0.125	0.125	0	0	0	0	0	0.125	0.125	0	0	0	0.125	0.125	0.125	0.125
2	A9	105	35	7	c	c	a	c	eight	8	Y	Y	N	N	N	N	N	Y	Y	N	N	N	Y	Y	Y	Y	0.125	0.125	0	0	0	0	0	0.125	0.125	0	0	0	0.125	0.125	0.125	0.125
2	A10	106	36	7	a	c	b	a	two	2	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0
2	A11	107	36	7	b	c	b	a	two	2	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0
2	A12	108	36	7	c	c	b	a	two	2	N	N	N	N	N	Y	Y	N	N	N	N	N	N	N	N	N	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0
2	B1	109	37	7	a	c	b	a	two	2	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0
2	B2	110	37	7	b	c	b	a	two	2	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0
2	B3	111	37	7	c	c	b	a	two	2	N	N	N	N	Y	N	N	N	N	Y	N	N	N	N	N	N	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0
2	B4	112	38	7	a	c	b	b	two	2	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
2	B5	113	38	7	b	c	b	b	two	2	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
2	B6	114	38	7	c	c	b	b	two	2	N	N	Y	Y	N	N	N	N	N	N	N	N	N	N	N	N	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0
2	B7	115	39	7	a	c	b	b	two	2	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0
2	B8	116	39	7	b	c	b	b	two	2	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0
2	B9	117	39	7	c	c	b	b	two	2	N	N	N	N	N	N	N	N	N	N	Y	Y	N	N	N	N	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0
2	B10	118	40	7	a	c	b	a	four	4	N	N	N	N	Y	Y	Y	N	N	Y	N	N	N	N	N	N	0	0	0	0	0.25	0.25	0.25	0	0	0.25	0	0	0	0	0	0
2	B11	119	40	7	b	c	b	a	four	4	N	N	N	N	Y	Y	Y	N	N	Y	N	N	N	N	N	N	0	0	0	0	0.25	0.25	0.25	0	0	0.25	0	0	0	0	0	0
2	B12	120	40	7	c	c	b	a	four	4	N	N	N	N	Y	Y	Y	N	N	Y	N	N	N	N	N	N	0	0	0	0	0.25	0.25	0.25	0	0	0.25	0	0	0	0	0	0
2	C1	121	41	7	a	c	b	b	four	4	N	N	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	0	0	0.25	0.25	0	0	0	0	0	0	0.25	0.25	0	0	0	0
2	C2	122	41	7	b	c	b	b	four	4	N	N	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	0	0	0.25	0.25	0	0	0	0	0	0	0.25	0.25	0	0	0	0
2	C3	123	41	7	c	c	b	b	four	4	N	N	Y	Y	N	N	N	N	N	N	Y	Y	N	N	N	N	0	0	0.25	0.25	0	0	0	0	0	0	0.25	0.25	0	0	0	0
2	C4	124	42	7	a	c	b	c	eight	8	N	N	Y	Y	Y	Y	Y	N	N	Y	Y	Y	N	N	N	N	0	0	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0.125	0.125	0	0	0	0
2	C5	125	42	7	b	c	b	c	eight	8	N	N	Y	Y	Y	Y	Y	N	N	Y	Y	Y	N	N	N	N	0	0	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0.125	0.125	0	0	0	0
2	C6	126	42	7	c	c	b	c	eight	8	N	N	Y	Y	Y	Y	Y	N	N	Y	Y	Y	N	N	N	N	0	0	0.125	0.125	0.125	0.125	0.125	0	0	0.125	0.125	0.125	0	0	0	0
2	C7	127	43	7	a	x	x	x	one	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	C8	128	43	7	b	x	x	x	one	1	Y	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
